iter	Passed	Remaining
839	5360	1020
840	5366	1014
841	5374	1008
842	5381	1002
843	5388	995
844	5394	989
845	5401	983
846	5408	976
847	5414	970
848	5421	964
849	5427	957
850	5433	951
851	5440	945
852	5447	938
853	5453	932
854	5461	926
855	5468	919
856	5475	913
857	5482	907
858	5488	900
859	5494	894
860	5501	888
861	5508	881
862	5515	875
863	5521	869
864	5527	862
865	5534	856
866	5541	850
867	5548	843
868	5555	837
869	5561	831
870	5568	824
871	5575	818
872	5582	812
873	5588	805
874	5596	799
875	5602	793
876	5608	786
877	5614	780
878	5619	773
879	5626	767
880	5631	760
881	5637	754
882	5643	747
883	5649	741
884	5655	734
885	5662	728
886	5668	722
887	5674	715
888	5680	709
889	5686	702
890	5692	696
891	5699	690
892	5705	683
893	5712	677
894	5718	670
895	5724	664
896	5730	658
897	5736	651
898	5742	645
899	5748	638
900	5754	632
901	5761	625
902	5766	619
903	5772	613
904	5778	606
905	5783	600
906	5788	593
907	5794	587
908	5800	580
909	5806	574
910	5812	567
911	5819	561
912	5825	555
913	5831	548
914	5836	542
915	5841	535
916	5847	529
917	5852	522
918	5858	516
919	5864	509
920	5870	503
921	5877	497
922	5883	490
923	5889	484
924	5895	478
925	5901	471
926	5907	465
927	5913	458
928	5919	452
929	5925	445
930	5931	439
931	5937	433
932	5943	426
933	5949	420
934	5957	414
935	5963	407
936	5971	401
937	5978	395
938	5985	388
939	5992	382
940	5999	376
941	6007	369
942	6013	363
943	6021	357
944	6028	350
945	6034	344
946	6042	338
947	6049	331
948	6055	325
949	6063	319
950	6070	312
951	6076	306
952	6083	300
953	6090	293
954	6096	287
955	6104	280
956	6111	274
957	6118	268
958	6125	261
959	6132	255
960	6139	249
961	6145	242
962	6153	236
963	6162	230
964	6169	223
965	6178	217
966	6184	211
967	6191	204
968	6198	198
969	6205	191
970	6212	185
971	6218	179
972	6225	172
973	6232	166
974	6239	159
975	6246	153
976	6252	147
977	6259	140
978	6266	134
979	6272	128
980	6279	121
981	6285	115
982	6292	108
983	6299	102
984	6306	96
985	6313	89
986	6320	83
987	6328	76
988	6334	70
989	6342	64
990	6349	57
991	6357	51
992	6363	44
993	6370	38
994	6378	32
995	6385	25
996	6392	19
997	6399	12
998	6406	6
999	6414	0
